title,description,rating,link,date,mine,tags,comment,visibility,istop,picurl
美少女万华镜 -为神所创的少女们- 美少女万華鏡 -神が造りたもうた少女たち- ,美少女万华镜 -神明所创的少女们-/美少女万华镜 -为神所生的少女们-/文字冒险/PC/2015-02-27,8.7,https://www.douban.com/game/34905628/,2022-02-23 21:16:43,3,"拔作,R18,日本,Galgame",慕名，什么玩意儿这是，不讲任何道理的干，在黄油中算是设定不错的，但这破剧情何德何能8.9？,public,,https://img1.doubanio.com/lpic/s33530748.jpg
幻想水浒传 Suikoden,幻想水浒伝/角色扮演/策略/PC/PlayStation Portable/PlayStation/Saturn/Konami Corporation/Konami Computer Entertainment Tokyo/1995-12-15,8.8,https://www.douban.com/game/19950317/,2022-02-23 10:03:29,5,"RPG,日本",小时候玩了大概四分之一卡关，由于音乐实在太惊艳印象极深，前几天找出来打通了。用起义军套水浒传的皮非常成功，在最后两次战役前对不同人物的两次快剪式刻画非常有感觉。小时候最烦踩地雷式遇敌，现在发现其实也还行……,public,,https://img1.doubanio.com/lpic/s19502407.jpg
日在校园 School Days,スクールデイズ/模拟/冒险/PC/PlayStation 2/0verflow/2005-04-28,8.2,https://www.douban.com/game/10755896/,2022-02-18 11:45:45,5,"Galgame,日本,校园,恋爱",竟然没标记过。总的来说这游戏是什么样的人来玩就会还给他什么样的故事，像照镜子一样。当年我看完动画之后觉得很遗憾就找来游戏，打了个跟世界从头到尾没H过的纯爱巴伐露斯结局，然后心满意足地卸载。最近重温了一下，发现这游戏的叙事系统被严重低估了，全动画+片头片尾曲+到重大波折时出章回名的设计真是完全还原了看番时的爽感，而且似乎整个游戏史上也没什么这么做的,public,,https://img2.doubanio.com/lpic/s9124473.jpg
十三机兵防卫圈 十三機兵防衛圏,13 Sentinels: Aegis Rim/文字冒险/策略/PlayStation 4/Nintendo Switch/Vanillaware Ltd./2019-11-28,9.1,https://www.douban.com/game/26615836/,2022-02-09 14:03:03,5,香草社,又名：我们至今没有看到南奈津乃同学换衣服的样子。在叙事形式上的创新值得一玩，十几个小时之后每个玩家都是活体《记忆碎片》男主。确实是只有电子游戏才能达到的效果。,public,,https://img9.doubanio.com/lpic/s33450386.jpg
影子工厂 Impostor Factory,冒险/PC/Mac/Freebird Games/2021-10-01,9.1,https://www.douban.com/game/30485336/,2021-12-24 15:47:20,4,"高瞰,RPG,独立游戏",于是这是2021年通关的唯一一部新作 比起前两作还是挺缺少亮点的 以至于你有精力去想“这么个故事他是怎么想到从那个时间点切入开始叙述的？”不过高瞰老师的功底还是在，第二幕的前半段闪回是我们所有纯爱战士的愿望了吧（喂,public,,https://img1.doubanio.com/lpic/s30022189.jpg
最后生还者 第二部 The Last of Us Part II,"美国末日2/最后生还者 第二幕/TLOU2/射击/冒险/动作/PlayStation 4/Naughty Dog, Inc./2020-06-19",7.2,https://www.douban.com/game/26927545/,2022-08-13 21:47:51,5,"顽皮狗,PS4,动作",补标@7.3。另一个史诗级的作品毫无疑问，只是相对于人见人爱的前作来说先锋了太多。和许多人一样，最喜欢的场景是博物馆的生日，但这种发糖片段老实说挑战不大；操作Abby主视角对决Ellie时才是真正挑战了游戏叙事边界的几分钟。由于通关后才敢仔细看评论，才发现当年的争论中竟然有很大篇幅在争结局——竟然有这么多人在这样的几十小时剧情之后还满脑子都是杀人，倒数第三个大场景中WLF和Scars两败俱伤的愚蠢火并完全预言了其存在,public,,https://img2.doubanio.com/lpic/s33498652.jpg
冰汽时代 Frostpunk,寒霜朋克/冰汽朋克/模拟/策略/PC/Mac/PlayStation 4/Xbox One/11 Bit Studios/2018-04-24,8.6,https://www.douban.com/game/26978721/,2021-03-13 00:40:45,4,"Steam,模拟,生存,道德困境,蒸汽朋克,模拟经营,策略,末世,单机游戏",虽然仔细想想无非是最大化收集资源那一套机制，外壳可是太有趣了。比如机核有一篇讲其时代背景的文章，1886年正是欧洲人在马克思等人领导下刚刚斗争到了10小时工作制的时候。由于事先看到了剧透（很难避免……）没有建监狱顺利通关，没有看到那句著名的评语。说实话判定有点拧巴，但从意识形态上否定的人也够二极管的……,public,,https://img1.doubanio.com/lpic/s29757569.jpg
时空轮回 Ever17 -the out of infinity-,Ever 17 -the out of infinity-/时光的羁绊/Ever 17/文字冒险/PC/Xbox 360/PlayStation 2/PlayStation Portable/Dreamcast/KID Corp./2002-08-29,9.4,https://www.douban.com/game/10806189/,2022-08-13 21:52:08,5,,补标@6.30 在途中随着信息不断给出还是能猜到大概，也就并没有传说中最终轮回时那种颠覆性体验，但平心而论后续的发展还是相当厉害，能通过那种方式把故事圆上的功力也绝对值得掌声（一边玩一边发现每个人都有深邃的过去，这种感觉好像《海伯利安》……），通关后越琢磨越有趣的那种。Tsugumi的CV恰好也配了前一阵玩过的WA2:CC里面的麻理姐，声音太好听了，她的故事也最动人。,public,,https://img9.doubanio.com/lpic/s26643655.jpg
极乐迪斯科 Disco Elysium,No Truce With The Furies/文字冒险/角色扮演/冒险/PC/Mac/PlayStation 4/Xbox One/Nintendo Switch/PlayStation 5/Xbox Series X/Stadia/2019-10-15,9.6,https://www.douban.com/game/26935092/,2020-07-07 21:00:23,5,"独立游戏,解谜,角色扮演","表面上这是一个探案游戏，实际上是一个破碎的男人献给自己失去的爱人的一首诗，名字叫《总有一天我会回到你身边》。_x000d_
（制作组甚至还把这句话给点燃了）_x000d_
超级喜欢最后一天时的那个梦境，简直是一首伟大的抒情诗，而且几乎可以肯定是只有游戏这种媒介才能营造出的体验。",public,1.0,https://img1.doubanio.com/lpic/s33888320.jpg
杰作 Opus Magnum,益智/策略/PC/Mac/Linux/2017-12-08,9.4,https://www.douban.com/game/27178438/,2020-07-02 16:31:08,5,"解谜,益智",也太好玩了 设计机械化流水线的魅力,public,,https://img1.doubanio.com/lpic/s33474009.jpg
她的故事 Her Story,模拟/冒险/PC/Mac/iPhone/iPad/Android/Linux/2015-06-24,8.7,https://www.douban.com/game/26429413/,2020-02-10 17:52:18,5,"解谜,IndieGame",太厉害了，非线性叙事的颠覆,public,,https://img2.doubanio.com/lpic/s29892592.jpg
巫师3：狂猎 The Witcher 3: Wild Hunt,The Witcher III: Wild Hunt/猎魔人3：狂猎/卡牌/角色扮演/冒险/动作/PC/PlayStation 4/Xbox One/Nintendo Switch/PlayStation 5/Xbox Series X/CD Projekt RED Sp. z o.o./2015-05-19,9.5,https://www.douban.com/game/21355730/,2019-06-18 01:23:50,5,"RPG,CDPR",神作。众多的支线剧情和其中的道德困境令我震撼。,public,1.0,https://img2.doubanio.com/lpic/s28081091.jpg
巫师3：狂猎 石之心 The Witcher 3: Wild Hunt - Hearts of Stone,角色扮演/冒险/动作/PC/PlayStation 4/Xbox One/Nintendo Switch/PlayStation 5/Xbox Series X/CD Projekt RED Sp. z o.o./2015-10-13,9.7,https://www.douban.com/game/26632626/,2019-06-18 01:22:50,5,"PS4,RPG,CDPR",石之心这个短小精悍又回味隽永的DLC真的是艺术品 不管是美术风格还是镜子大师的人物刻画以及其专属的歌曲和BGM，当然还有令人深思的剧情和叙事手法，每一样都令人印象深刻,public,,https://img2.doubanio.com/lpic/s28307313.jpg
巫师3：狂猎 血与酒 The Witcher 3: Wild Hunt - Blood and Wine,猎魔人3：血与酒/角色扮演/冒险/动作/PC/PlayStation 4/Xbox One/Nintendo Switch/PlayStation 5/Xbox Series X/CD Projekt RED Sp. z o.o./2016-05-31,9.7,https://www.douban.com/game/26682759/,2019-06-18 01:17:22,4,"PS4,CDPR",体量确实如传说般巨大，但是剧情也就一般 尤其和之前的珠玉相比,public,,https://img1.doubanio.com/lpic/s29296639.jpg
画中世界 Gorogoa,冒险/益智/PC/Mac/iPhone/iPad/Android/PlayStation 4/Xbox One/Nintendo Switch/Xbox Series X/Jason Roberts/2017-12-14,9.6,https://www.douban.com/game/25822935/,2019-03-22 23:54:58,5,"独立游戏,解谜",不好评价... 不可否认这个作品的创意非常之无敌，但就游戏性上来讲，这「一个点子」几乎就是全部，很多人说流程短——但后续过程新引进的元素有限，重复感略多... 不过倒真的，仅凭这一个点子还是可以给满分。,public,,https://img2.doubanio.com/lpic/s29659462.jpg
寻找天堂 Finding Paradise,去月球2/冒险/PC/Mac/Nintendo Switch/Linux/Freebird Games/2017-12-14,9.4,https://www.douban.com/game/26655017/,2019-03-21 19:19:07,5,,啊，怎么能在短评中不剧透呢... 每个孤独的孩子大概都想过情节中的故事，但作者用整部作品加上巧妙的叙事来描绘她，很动人。真的非常佩服高瞰先生提炼出自己的人生经历做出的这两部作品,public,1.0,https://img2.doubanio.com/lpic/s29676121.jpg
鸟的故事 A Bird Story,冒险/PC/Mac/Linux/Freebird Games/2014-11-07,7.8,https://www.douban.com/game/26257379/,2019-03-20 22:24:49,2,独立游戏,"Know exactly what the producer is trying to convey, doesn't change anything about its boringness. Rate will go up a lot if the play-time reduced to 1/2 or 1/3.（补充：续作《寻找天堂》里有对此的精准描述：Some story is not meant to be told, it's meant to be kept. ）",public,,https://img9.doubanio.com/lpic/s27791745.jpg
去月球 To the Moon,冒险/PC/Mac/iPhone/iPad/Android/Nintendo Switch/Linux/Freebird Games/2011-11-01,9.1,https://www.douban.com/game/10739872/,2019-03-20 19:05:45,4,,是个好游戏，有娓娓道来的独到的叙事结构，感人的音乐，和不少颇令人回味的句子……但最后的剧情走向圆不上。总体比不上预想中的神作等级。,public,,https://img2.doubanio.com/lpic/s29479183.jpg
底特律：变人 Detroit: Become Human,底特律：化身为人/冒险/动作/PC/PlayStation 4/Quantic Dream/2018-05-25,9.3,https://www.douban.com/game/26652745/,2019-06-30 19:00:57,5,"QuanticDream,赛博朋克,PS4,互动电影",迟了一年通关。真的是电影化叙事的新标杆，操作上赛博朋克感营造得无与伦比，爱丽丝坐上旋转木马的场景是个堪比最后生还者里面长颈鹿场景的氛围，但相对于Neil的导演功力确实还差了一点 不过总体已经无敌了,public,,https://img2.doubanio.com/lpic/s29705432.jpg
